gendered,non_gendered
Dier Jagdaufseher/in überprüfte die Jagdreviere regelmäßig.,Die Jagdaufseherin überprüfte die Jagdreviere regelmäßig.
Tim ist nicht mehr Herr/in derer Sinne.,Tim ist nicht mehr Herrin ihrer Sinne.
"Das Team war kurzfristig unbesetzt, da einige Spielende krankheitsbedingt fehlten.","Das Team war kurzfristig unbesetzt, da einige Spielerinnen krankheitsbedingt fehlten."
... Die Teilnehmer/innen waren zufrieden.,... Die Teilnehmer waren zufrieden.
Dier Tierhalter*in bringt im Urlaub deren Katze immer in eine Pension. ,Der Tierhalter bringt im Urlaub seine Katze immer in eine Pension. 
Dier BloggerIn schrieb einen neuen Artikel über nachhaltige Mode.,Die Bloggerin schrieb einen neuen Artikel über nachhaltige Mode.
"Die junge Person mit dem Fahrrad mit tiefem Einstieg genoss die Leichtigkeit des Ein- und Aussteigens.
","Der junge Mann mit dem Fahrrad mit tiefem Einstieg genoss die Leichtigkeit des Ein- und Aussteigens.
"
"Die Mitglieder_innen des Vereins trafen sich regelmäßig, um über neue Projekte und Veranstaltungen zu diskutieren.","Die Mitglieder des Vereins trafen sich regelmäßig, um über neue Projekte und Veranstaltungen zu diskutieren."
... Die Handwerker/innen schließen sich zu Kooperationen zusammen.,... Die Handwerker schließen sich zu Kooperationen zusammen.
Die Wanderung für Genießer/innen führte durch malerische Weinberge.,Die Wanderung für Genießer führte durch malerische Weinberge.
Die PatientInschulung vermittelte den TeilnehmerInnen wichtige Informationen zur Selbstversorgung und Gesundheitsvorsorge.,Die Patientenschulung vermittelte den Teilnehmern wichtige Informationen zur Selbstversorgung und Gesundheitsvorsorge.
"In der Täter_inrolle nahm dier Schauspieler_in die Herausforderung an, eine komplexe Figur zu verkörpern.","In der Täterrolle nahm der Schauspieler die Herausforderung an, eine komplexe Figur zu verkörpern."
Dier Hospitant/in schaute dier Ärzt/in bei der Operation über die Schulter.,Die Hospitantin schaute der Ärztin bei der Operation über die Schulter.
Dier Überbringer:in der Nachricht wartete geduldig auf eine Antwort.,Die Überbringerin der Nachricht wartete geduldig auf eine Antwort.
Das Helfer/insystem der Organisation ist gut durchdacht und effizient.,Das Helferinsystem der Organisation ist gut durchdacht und effizient.
Dier FrühaufsteherIn genoss die ruhigen Morgenstunden.,Der Frühaufsteher genoss die ruhigen Morgenstunden.
Dier Stadtplaner*in entwarf das neue Wohngebiet.,Der Stadtplaner entwarf das neue Wohngebiet.
Die Kinder lernten Steighilfe. ,Die Kinder lernten Räuberinleiter. 
Die Einwohner*innen der Stadt feierten das jährliche Stadtfest.,Die Einwohner der Stadt feierten das jährliche Stadtfest.
Die KfZ-Mechaniker_innen-Innung organisiert regelmäßig Fortbildungen für ihre Mitglieder_innen.,Die KfZ-Mechaniker-Innung organisiert regelmäßig Fortbildungen für ihre Mitglieder.
"Die Kund*inbetreuer*in hat sich viel Zeit genommen, um auf all meine Fragen einzugehen.","Der Kundenbetreuer hat sich viel Zeit genommen, um auf all meine Fragen einzugehen."
Die Rechnungsempfänger_innen öffnen ihre Briefe.,Die Rechnungsempfängerinnen öffnen ihre Briefe.
Dier Deutsche genießt deren Feierabendbier im Biergarten.,Die Deutsche genießt ihr Feierabendbier im Biergarten.
Die wissenschaftlichen Mitarbeiter:innen unterstützten dier Professor:in bei deren Forschungsarbeiten.,Die wissenschaftlichen Mitarbeiter unterstützten den Professor bei seinen Forschungsarbeiten.
Dier Statist/in spielte eine kleine Rolle im Film.,Der Statist spielte eine kleine Rolle im Film.
Die Verwendungsfreundlichkeit der neuen Software wurde gelobt.,Die Anwenderfreundlichkeit der neuen Software wurde gelobt.
Der Mensch mit Diabetes muss regelmäßig deren Blutzuckerspiegel kontrollieren.,Der Diabetiker muss regelmäßig seinen Blutzuckerspiegel kontrollieren.
"Als Fachvermögenträger/in unterstützte dey das Team mit deren Fachwissen.
","Als Fachvermögenträgerin unterstützte sie das Team mit ihrem Fachwissen.
"
Die Befragung der Belegschaft ergab wertvolle Einblicke in die Zufriedenheit der Angestellten.,Die Mitarbeiterbefragung ergab wertvolle Einblicke in die Zufriedenheit der Angestellten.
... Ein-Personen-Betrieb,... Ein-Mann-Betrieb
Dier Geisterfahrer:in verursachte einen schweren Unfall auf der Autobahn.,Der Geisterfahrer verursachte einen schweren Unfall auf der Autobahn.
Die Jäger/innen- und Sammler/innen-Gesellschaft lebte in enger Verbindung mit der Natur.,Die Jäger- und Sammler-Gesellschaft lebte in enger Verbindung mit der Natur.
Dier Frühaufsteher:in genoss die ruhigen Morgenstunden.,Der Frühaufsteher genoss die ruhigen Morgenstunden.
Unsere Partner/inorganisation unterstützt uns bei internationalen Projekten.,Unsere Partnerinorganisation unterstützt uns bei internationalen Projekten.
Das Nationalteam feierte ihren Sieg im Finale des Turniers und brachte damit stolz den Pokal zurück in ihr Heimatland.,Das Nationalteam feierte ihren Sieg im Finale des Turniers und brachte damit stolz den Pokal zurück in sein Heimatland.
Dieser Brief hat als Absender/in Katharinal Patil,Dieser Brief hat als Absender Katharinal Patil
Die*der Lehrer*in rief die*den Berufsschüler*in auf. ,Der Lehrer rief den Berufsschüler auf. 
"Dier Anlieger/in freute sich über neue Baugenehmigungen, damit das Viertel wachsen kann.","Der Anlieger freute sich über neue Baugenehmigungen, damit das Viertel wachsen kann.
"
Die Person ist Bachelor of Arts in Geschichte.,Sie ist Bachelor of Arts in Geschichte.
Dey ist ein_e überzeugte:r Pazifist_in und lehnt Gewalt ab.,Er ist ein überzeugter Pazifist und lehnt Gewalt ab.
Dey meldete sich als Freiwillige*r für die Organisation des Sommerfests.,Er meldete sich als Freiwilliger für die Organisation des Sommerfests.
"Die Unterzeichner_innen des Vertrags verpflichteten sich, die vereinbarten Bedingungen innerhalb der festgelegten Frist zu erfüllen.","Die Unterzeichnerinnen des Vertrags verpflichteten sich, die vereinbarten Bedingungen innerhalb der festgelegten Frist zu erfüllen."
Regelmäßiger KlientInkontakt ist für den Erfolg in der Beratung von großer Bedeutung.,Regelmäßiger Klientinkontakt ist für den Erfolg in der Beratung von großer Bedeutung.
... Alle können teilnehmen.,... Jede kann teilnehmen.
Dier Anleger_in legt großen Wert auf ein gepflegtes Äußeres. ,Die Anlegerin legt großen Wert auf ein gepflegtes Äußeres. 
Dier Generaldirektor/in des Unternehmens traf die endgültige Entscheidung.,Die Generaldirektorin des Unternehmens traf die endgültige Entscheidung.
"Dier Nachrücker*in übernahm die Position im Vorstand, nachdem ein Mitglied ausgeschieden war, und brachte frischen Wind in das Gremium.","Der Nachrücker übernahm die Position im Vorstand, nachdem ein Mitglied ausgeschieden war, und brachte frischen Wind in das Gremium."
Von Seiten des Netzbetriebs wird eine bessere Infrastruktur für schnelles Internet gefordert.,Der Netzbetreiber fordert eine bessere Infrastruktur für schnelles Internet.
Bitte bringen Sie Ihre Versichertenkarte zum Termin mit.,Bitte bringen Sie Ihre Versichertenkarte zum Termin mit.
Dier Kriminalbeamt*in führte die Ermittlungen im Betrugsfall durch.,Die Kriminalbeamtin führte die Ermittlungen im Betrugsfall durch.
Dier Projektentwickler/in plante das neue Wohngebiet.,Die Projektentwicklerin plante das neue Wohngebiet.
Der Minimarkt ist bekannt für seine freundliche Atmosphäre und das vielfältige Sortiment an traditionellen Lebensmitteln.,Der Tante-Emma-Laden ist bekannt für seine freundliche Atmosphäre und das vielfältige Sortiment an traditionellen Lebensmitteln.
Nur wenige MitwisserInnen kannten das Geheimnis.,Nur wenige Mitwisserinnen kannten das Geheimnis.
Die Marktakteur_innen diskutierten über die zukünftige Preisgestaltung auf dem Markt.,Die Marktakteurinnen diskutierten über die zukünftige Preisgestaltung auf dem Markt.
Im Ärzt/inzimmer warteten schon die nächsten Patient/innen.,Im Ärztinzimmer warteten schon die nächsten Patientinnen.
Die Ausstellendenliste der Messe war lang und vielfältig.,Die Ausstellerinliste der Messe war lang und vielfältig.
Dier Sozialpädagog*in arbeitet mit benachteiligten Jugendlichen.,Die Sozialpädagog:in arbeitet mit benachteiligten Jugendlichen.
"Dier Tontechniker_in sorgt dafür, dass der Sound der Veranstaltung gut klingt.","Die Tontechnikerin sorgt dafür, dass der Sound der Veranstaltung gut klingt."
"Die 1000-Personen-Quote wurde eingeführt, um sicherzustellen, dass genügend Personal für das große Event zur Verfügung stand.","Die 1000-Frau-Quote wurde eingeführt, um sicherzustellen, dass genügend Personal für das große Event zur Verfügung stand."
Dey ist ein echter Naturmensch und verbringt viel Zeit im Wald.,Sie ist ein echtes Naturmädchen und verbringt viel Zeit im Wald.
"Dier Verletzte wurde sofort ins Krankenhaus gebracht, um medizinische Hilfe zu erhalten.","Der Verletzte wurde sofort ins Krankenhaus gebracht, um medizinische Hilfe zu erhalten."
Das Geisterfahrzeug verursachte einen schweren Unfall auf der Autobahn.,Der Geisterfahrer verursachte einen schweren Unfall auf der Autobahn.
"Die Kompetenzträger_innen aus verschiedenen Abteilungen arbeiteten zusammen, um die Herausforderung zu meistern.","Die Kompetenzträgerinnen aus verschiedenen Abteilungen arbeiteten zusammen, um die Herausforderung zu meistern."
Die Betriebsrät_innen stimmten über die neuen Arbeitsbedingungen ab.,Die Betriebsräte stimmten über die neuen Arbeitsbedingungen ab.
Die Fachunkundigen im Publikum stellten viele interessante Fragen.,Die Laiinnen im Publikum stellten viele interessante Fragen.
Dier Oberärzt/in leitet die chirurgische Abteilung.,Der Oberarzt leitet die chirurgische Abteilung.
"Dier Autor/in hielt eine Lesung in der Buchhandlung. Viele deren Fans waren vor Ort und freuten sich, dem zu treffen.","Der Autor hielt eine Lesung in der Buchhandlung. Viele seiner Fans waren vor Ort und freuten sich, ihn zu treffen."
Die Kauffachkräfte auf dem Markt verhandelten eifrig über die Preise ihrer Waren.,Die Kaufmänner auf dem Markt verhandelten eifrig über die Preise ihrer Waren.
Die rechts gesinnte Person propagierte extreme Ansichten.,Die Rechte propagierte extreme Ansichten.
Dier erfahrene Kletter_in meisterte die schwierige Route am Felsen mit beeindruckender Leichtigkeit.,Der erfahrene Kletterer meisterte die schwierige Route am Felsen mit beeindruckender Leichtigkeit.
Dier Treuhänder/in verwaltete das Vermögen der Verstorbenen und sorgte für eine gerechte Verteilung.,Der Treuhänder verwaltete das Vermögen der Verstorbenen und sorgte für eine gerechte Verteilung.
Dier Beschäftigte der Müllabfuhr leerte die Tonnen früh am Morgen.,Der Müllmann leerte die Tonnen früh am Morgen.
"Dier ZitatgeberIn lieferte die berühmten Worte, die in der Rede verwendet wurden, um die Botschaft zu verstärken.","Der Zitatgeber lieferte die berühmten Worte, die in der Rede verwendet wurden, um die Botschaft zu verstärken."
Dier Rechthaber:in diskutierte unermüdlich.,Die Rechthaberin diskutierte unermüdlich.
Als Kauffachkraft für Büromanagement übernimmt dey die Organisation des Büroalltags.,Als Kauffrau für Büromanagement übernimmt sie die Organisation des Büroalltags.
Die alten Griech:innen glaubten an viele Gött:innen.,Die alten Griechinnen glaubten an viele Göttinnen.
Die Geschwister 2. Grades spielten zusammen im Garten.,Die Cousins spielten zusammen im Garten.
Im Bürger*inamt kann man einen neuen Personalausweis beantragen.,Im Bürgerinamt kann man einen neuen Personalausweis beantragen.
Die Systemadministration löste die technischen Probleme im Netzwerk.,Die Systemadministratorin löste die technischen Probleme im Netzwerk.
Die Grinsebacke der Klasse brachte alle zum Lachen.,Die Grinsebacke der Klasse brachte alle zum Lachen.
Die Nachricht hat mich als adressierte Person,Die Nachricht hat mich als Adressat
Die LehrstuhlleiterInnen betreuten zahlreiche Forschungsprojekte.,Die Lehrstuhlleiter betreuten zahlreiche Forschungsprojekte.
Das ÄrztIngeheimnis schützt die Privatsphäre der PatientInnen.,Das Arztgeheimnis schützt die Privatsphäre der Patienten.
Die JägerInnen- und SammlerInnen-Gesellschaft lebte in enger Verbindung mit der Natur.,Die Jägerinnen- und Sammlerinnen-Gesellschaft lebte in enger Verbindung mit der Natur.
Die Sprecher_innen der Fraktion beraten vor der Sitzung.,Die Sprecher der Fraktion beraten vor der Sitzung.
Dier Päpst/in hielt eine bewegende Rede auf dem Petersplatz.,Die Päpstin hielt eine bewegende Rede auf dem Petersplatz.
Dier Sexist:in wurde für deren diskriminierende Kommentare kritisiert.,Die Sexistin wurde für ihre diskriminierenden Kommentare kritisiert.
Die Webseite ist sehr nutzer:inorientiert gestaltet.,Die Webseite ist sehr nutzerinorientiert gestaltet.
Der Prüfling war sehr nervös vor der Prüfung.,Der Prüfling war sehr nervös vor der Prüfung.
Dier SprecherIn des Films hatte eine markante Stimme. ,Die Sprecherin des Films hatte eine markante Stimme. 
Viele ZivilistInnen waren von den Kämpfen betroffen.,Viele Zivilisten waren von den Kämpfen betroffen.
Die AnliegerInnen der Straße protestierten gegen den geplanten Bau.,Die Anlieger der Straße protestierten gegen den geplanten Bau.
Die Kommentator:innen boten den zuschauenden Personen bei der Live-Übertragung eine vielfältige Perspektive auf das Geschehen.,Die Kommentatorinnen boten den Zuschauerinnen bei der Live-Übertragung eine vielfältige Perspektive auf das Geschehen.
Es sind mehr als 250 Beschäftigte bei uns angestellt.,Es sind mehr als 250 Beschäftigte bei uns angestellt.
Dier Lehrstuhlinhaber:in veröffentlichte regelmäßig Artikel in renommierten Fachzeitschriften.,Der Lehrstuhlinhaber veröffentlichte regelmäßig Artikel in renommierten Fachzeitschriften.
Dier Ausbildungsbewerber/in überzeugte im Vorstellungsgespräch.,Der Ausbildungsbewerber überzeugte im Vorstellungsgespräch.
Die erfahrene kletternde Person meisterte die schwierige Route am Felsen mit beeindruckender Leichtigkeit.,Die erfahrene Kletterin meisterte die schwierige Route am Felsen mit beeindruckender Leichtigkeit.
Die Vertretung der Firma hielt eine Präsentation.,Der Repräsentant der Firma hielt eine Präsentation.
"Dey ging in den Gebärendenschutz, als der Geburtstermin näher rückte.","Sie ging in den Mutterschutz, als der Geburtstermin näher rückte."
Dier Techniker_in reparierte das Gerät fachkundig.,Die Technikerin reparierte das Gerät fachfraulich.
Nur Karteninhaber/innen haben Zugang zum exklusiven Konzert,Nur Karteninhaber haben Zugang zum exklusiven Konzert.
Der Dachkonzern ist weltweit tätig.,Der Mutterkonzern ist weltweit tätig.
Die BesucherInzahl des Festivals erreichte dieses Jahr einen neuen Rekord.,Die Besucherzahl des Festivals erreichte dieses Jahr einen neuen Rekord.
Dier Berufskraftfahrer/in muss sich an strenge Vorschriften halten.,Die Berufskraftfahrerin muss sich an strenge Vorschriften halten.
... JedeR Einzelne sucht sich einen Platz.,... Jede Einzelne sucht sich einen Platz.
Die Steuerberatungspraxis in der Innenstadt bietet umfassende Beratungsdienste für Privatpersonen und Unternehmen an.,Die Steuerberaterpraxis in der Innenstadt bietet umfassende Beratungsdienste für Privatpersonen und Unternehmen an.
... Die Handwerker_innen schließen sich zu Kooperationen zusammen.,... Die Handwerker schließen sich zu Kooperationen zusammen.
Im Bürger/inbüro können Anwohner/innen ihre Anliegen vorbringen.,Im Bürgerbüro können Anwohner ihre Anliegen vorbringen.
"Die Person arbeitete hart, um ihre Familie zu versorgen.","Der Mann arbeitete hart, um seine Familie zu versorgen."
"Dier leidenschaftliche Kommunist*in setzte sich für soziale Gerechtigkeit und Gleichheit ein.
","Der leidenschaftliche Kommunist setzte sich für soziale Gerechtigkeit und Gleichheit ein.
"
Dier Notar/in beglaubigte die rechtsgültigen Dokumente und sorgte für eine reibungslose Abwicklung des Immobilienkaufs.,Die Notarin beglaubigte die rechtsgültigen Dokumente und sorgte für eine reibungslose Abwicklung des Immobilienkaufs.
"Der Strohmensch wurde in der Verhandlung verwendet, um die tatsächlichen Interessen zu verschleiern.","Der Strohmann wurde in der Verhandlung verwendet, um die tatsächlichen Interessen zu verschleiern.
"
Die AusstellerInliste der Messe war lang und vielfältig.,Die Ausstellerinliste der Messe war lang und vielfältig.
"Das Gäst/inhörer/instudium ermöglichte ihr, verschiedene Vorlesungen ohne Prüfungsdruck zu besuchen.","Das Gästinhörerinstudium ermöglichte ihr, verschiedene Vorlesungen ohne Prüfungsdruck zu besuchen."
"Wir haben zahlreiche positive KundInreferenzen, die die Qualität unserer Produkte unterstreichen.","Wir haben zahlreiche positive Kundinreferenzen, die die Qualität unserer Produkte unterstreichen."
Die Kinderdarsteller_innen eroberten die Herzen des Publikums mit ihrer unbekümmerten Natürlichkeit.,Die Kinderdarsteller eroberten die Herzen des Publikums mit seiner unbekümmerten Natürlichkeit.
Die Veteran:innen wurden bei der Parade geehrt und für ihren Dienst gewürdigt.,Die Veteranen wurden bei der Parade geehrt und für ihren Dienst gewürdigt.
Der Star des Abends war ein:e bekannte:r Sänger:in.,Der Star des Abends war eine bekannte Sängerin.
Dier Ehegatt:in lud deren Familie zur Feier ein.,Der Ehegatte lud seine Familie zur Feier ein.
Dier Feminist*in setzte sich für die Gleichberechtigung der Geschlechter ein.,Der Feminist setzte sich für die Gleichberechtigung der Geschlechter ein.
"Die Veranstaltung findet nur statt, wenn die Mindestteilnehmer:innenzahl erreicht wird.","Die Veranstaltung findet nur statt, wenn die Mindestteilnehmerzahl erreicht wird."
Dier FahrzeuginsassIn trug bei dem Aufprall nur leichte Verletzungen davon.,Der Fahrzeuginsasse trug bei dem Aufprall nur leichte Verletzungen davon.
Als Hamburger/in ist dey Regen gewohnt.,Als Hamburgerin ist sie Regen gewohnt.
Neue MitarbeiterInstellen wurden in verschiedenen Abteilungen ausgeschrieben.,Neue Mitarbeiterstellen wurden in verschiedenen Abteilungen ausgeschrieben.
Das Berater*inverzeichnis listet alle verfügbaren Expert*innen auf.,Das Beraterinverzeichnis listet alle verfügbaren Expertinnen auf.
Dier Muslim/in betete fünfmal am Tag.,Der Muslim betete fünfmal am Tag.
Dier ProletarierIn organisierte sich in einer Gewerkschaft.,Die Proletarierin organisierte sich in einer Gewerkschaft.
Dier Veterinär*in untersuchte das kranke Pferd gründlich und stellte eine genaue Diagnose.,Der Veterinär untersuchte das kranke Pferd gründlich und stellte eine genaue Diagnose.
Die Personen im Präsidentschaftsamt der beiden Länder trafen sich zum Gipfel.,Die Präsidenten der beiden Länder trafen sich zum Gipfel.
"Eine betriebliche Mentorperson half den neuen Angestellten, sich einzuarbeiten.","Ein betrieblicher Mentor half den neuen Angestellten, sich einzuarbeiten."
Die ReiserückkehrerInnen mussten sich nach der Rückkehr aus dem Ausland einem Gesundheitscheck unterziehen.,Die Reiserückkehrerinnen mussten sich nach der Rückkehr aus dem Ausland einem Gesundheitscheck unterziehen.
Dier BogenschützIn traf das Ziel mit präziser Genauigkeit.,Die Bogenschützin traf das Ziel mit präziser Genauigkeit.
Die Dienstaufsichtsperson lobte die Mitarbeitenden für ihre harte Arbeit.,Der Dienstherr lobte die Mitarbeiter für ihre harte Arbeit.
Dier SexarbeiterIn forderte mehr Rechte und Schutz.,Der Sexarbeiter forderte mehr Rechte und Schutz.
Die individuelle Entscheidung fiel auf das einfachste System.,Die Benutzerentscheidung fiel auf das einfachste System.
Dier Ratgeber/in gibt hilfreiche Tipps zur Karriereplanung.,Der Ratgeber gibt hilfreiche Tipps zur Karriereplanung.
"Die anordnende Person wies die Arbeitenden an, die Kisten zu stapeln.","Die Anordnerin wies die Arbeiterinnen an, die Kisten zu stapeln."
Die geflüchteten Menschen suchten Schutz und Unterstützung in einem neuen Land.,Die Flüchtlinge suchten Schutz und Unterstützung in einem neuen Land.
"Dier Verleger/in entschied sich, das Buch der aufstrebenden Autor/in zu veröffentlichen.","Der Verleger entschied sich, das Buch des aufstrebenden Autors zu veröffentlichen."
"... Dey übernimmt übergangsweise die Leitung, bis ein_e Nachfolger_in gefunden wurde.","... Sie übernimmt übergangsweise die Leitung, bis ein Nachfolger gefunden wurde."
Dier ZeugIn sagte im Gerichtsprozess gegen dier AngeklagteN aus.,Der Zeuge sagte im Gerichtsprozess gegen den Angeklagten aus.
Das Expert/innenrating bescheinigte dem Unternehmen hohe Qualität.,Das Expertinnenrating bescheinigte dem Unternehmen hohe Qualität.
Als Weinkenner:in erkannte dey sofort die Qualität des Jahrgangs und genoss jeden Schluck mit Bedacht.,Als Weinkenner erkannte er sofort die Qualität des Jahrgangs und genoss jeden Schluck mit Bedacht.
Dier Teilnehmer:in hat während des Kurses große Fortschritte gemacht.,Der Teilnehmer hat während des Kurses große Fortschritte gemacht.
Dier RecruiterIn suchte nach geeignetem Personal für die offene Stelle.,Der Recruiter suchte nach geeignetem Personal für die offene Stelle.
Das Unternehmen passte seine Produkte den Bedürfnissen der Kundschaft an.,"Das Unternehmen passte seine Produkte den Kundenbedürfnissen an.
"
Dier Trainer:in motivierte deren Team vor dem wichtigen Spiel mit einer inspirierenden Rede.,Der Trainer motivierte sein Team vor dem wichtigen Spiel mit einer inspirierenden Rede.
Die Person im Anzug hielt eine beeindruckende Rede.,Die Frau im Anzug hielt eine beeindruckende Rede.
Die Generalsekretär_in des Vereins gab die neuesten Beschlüsse bekannt.,Die Generalsekretärin des Vereins gab die neuesten Beschlüsse bekannt.
"Die Nachtschwärmer*innen trafen sich regelmäßig in ihrer Lieblingsbar, um die Nacht zu verbringen.","Die Nachtschwärmer trafen sich regelmäßig in ihrer Lieblingsbar, um die Nacht zu verbringen."
Dier Sekretär*in bereitete die Unterlagen für das Meeting vor. ,Die Sekretärin bereitete die Unterlagen für das Meeting vor. 
Die Forschungsgemeinde zeigte großes Interesse an den neuen Erkenntnissen.,Die Forschergemeinde zeigte großes Interesse an den neuen Erkenntnissen.
Die hohe KundInzufriedenheit ist das Ergebnis unserer engagierten Arbeit und unseres hervorragenden Services.,Die hohe Kundenzufriedenheit ist das Ergebnis unserer engagierten Arbeit und unseres hervorragenden Services.
"Die Polizei befragte dien TatbeteiligteN, um herauszufinden, was genau bei dem Vorfall passiert war.","Die Polizei befragte den Tatbeteiligten, um herauszufinden, was genau bei dem Vorfall passiert war."
Die neue Software befindet sich noch in der Pilot/inphase.,Die neue Software befindet sich noch in der Pilotphase.
Die Zusammenarbeit zwischen den beiden Firmen war sehr erfolgreich.,Die Partnerinschaft zwischen den beiden Firmen war sehr erfolgreich.
Die Turngeschwister halfen bei den sportlichen Übungen und sorgten für eine gute Betreuung.,Die Turnschwestern halfen bei den sportlichen Übungen und sorgten für eine gute Betreuung.
Dier Bearbeiter:in des Antrags informierte mich über den Stand der Dinge.,Die Bearbeiterin des Antrags informierte mich über den Stand der Dinge.
Die Senior:innen trafen sich regelmäßig zum Kaffee.,Die Seniorinnen trafen sich regelmäßig zum Kaffee.
Dier Leistungsempfänger_in musste einen Antrag auf Sozialhilfe ausfüllen.,Die Leistungsempfängerin musste einen Antrag auf Sozialhilfe ausfüllen.
Der Raucher_inbereich ist draußen vor dem Gebäude.,Der Raucherinbereich ist draußen vor dem Gebäude.
Die Postzustellung brachte jeden Morgen die Post.,Die Briefträgerin brachte jeden Morgen die Post.
Dier Fahrzeuglenker:in achtete besonders auf die Verkehrsschilder.,Der Fahrzeuglenker achtete besonders auf die Verkehrsschilder.
"Die Redaktion erhielt viele Leser*inbriefe, die unterschiedliche Meinungen widerspiegelten.","Die Redaktion erhielt viele Leserinbriefe, die unterschiedliche Meinungen widerspiegelten."
Dier Hacker*in verschaffte sich unbefugten Zugang zu sensiblen Daten.,Die Hackerin verschaffte sich unbefugten Zugang zu sensiblen Daten.
Die personenlose Raumfahrtmission war ein großer Erfolg.,Die personenlose Raumfahrtmission war ein großer Erfolg.
"Dier Verletzte wurde sofort ins Krankenhaus gebracht, um medizinische Hilfe zu erhalten.","Der Verletzte wurde sofort ins Krankenhaus gebracht, um medizinische Hilfe zu erhalten."
Die Entscheidungsträger:innen besprachen den monatlichen Fortschritt.,Die Entscheidungsträgerinnen besprachen den monatlichen Fortschritt.
Dier Biografieträger:in archivierte wichtige Lebensereignisse und Dokumente der porträtierten Person.,Die Biografieträgerin archivierte wichtige Lebensereignisse und Dokumente der porträtierten Person.
Die Entscheidung wurde auf expertInnenbasierter Analyse getroffen.,Die Entscheidung wurde auf expertinnenbasierter Analyse getroffen.
"Die Passagier:innen wurden gebeten, sich zur Sicherheitskontrolle zu begeben.","Die Passagierinnen wurden gebeten, sich zur Sicherheitskontrolle zu begeben."
"... Die StimmungsanimateurIn verbreitet gute Laune, egal wo dey ist. ","... Der Stimmungsanimateur verbreitet gute Laune, egal wo er ist. "
Die Schulung für Erkrankte vermittelte den Teilnehmenden wichtige Informationen zur Selbstversorgung und Gesundheitsvorsorge.,Die Patientinschulung vermittelte den Teilnehmerinnen wichtige Informationen zur Selbstversorgung und Gesundheitsvorsorge.
... An der Oper arbeiten 30 hauptberufliche Sänger*innen.,... An der Oper arbeiten 30 hauptberufliche Sängerinnen.
Der Stifter*innenrat entscheidet über die Vergabe von Fördermitteln aus der Stiftung.,Der Stifterinnenrat entscheidet über die Vergabe von Fördermitteln aus der Stiftung.
Dier Bewahrer/in der Tradition sorgte für die Erhaltung alter Bräuche.,Die Bewahrerin der Tradition sorgte für die Erhaltung alter Bräuche.
Dier WanderIn durchstreifte die Berge und genoss die frische Luft.,Die Wanderin durchstreifte die Berge und genoss die frische Luft.
Dier Maurer/in baute die Wände des neuen Hauses.,Der Maurer baute die Wände des neuen Hauses.
Dier Philosoph:in schrieb ein Buch über Ethik.,Die Philosophin schrieb ein Buch über Ethik.
"Dier Wohnungseigentümer:in plant, deren Immobilie zu renovieren.","Der Wohnungseigentümer plant, seine Immobilie zu renovieren."
Die am Kurs teilnehmende Person war begeistert von den praxisnahen Übungen.,"Die Kursteilnehmerin war begeistert von den praxisnahen Übungen.
"
Die handwerkliche Fachkraft reparierte das undichte Dach.,Die Handwerkerin reparierte das undichte Dach.
Dier Zuständige in der Behörde kümmerte sich um den Sachverhalt.,Der Zuständige in der Behörde kümmerte sich um den Sachverhalt.
"Die Zeichnungsberechtigten waren autorisiert, die Finanztransaktionen im Unternehmen zu überprüfen und zu genehmigen.","Die Zeichnungsberechtigten waren autorisiert, die Finanztransaktionen im Unternehmen zu überprüfen und zu genehmigen."
"Dier Lehrmeister:in zeigte geduldig, wie man die Maschinen richtig bedient.","Der Lehrmeister zeigte geduldig, wie man die Maschinen richtig bedient."
Die Finalist/innen bereiteten sich intensiv auf das letzte Turnier vor.,Die Finalistinnen bereiteten sich intensiv auf das letzte Turnier vor.
Dier Pfleger/in kümmerte sich liebevoll um die Kinder.,Die Pflegerin kümmerte sich liebevoll um die Kinder.
Die Kunstkennenden erkannten sofort die Echtheit des Gemäldes.,"Die Kunstkenner erkannten sofort die Echtheit des Gemäldes.
"
Es ist pflicht ein Praktikum (direkt) nach Studienabschluss zu machen,Es ist Pflicht ein Absolventinpraktikum zu machen
Die interagierende Person leitete die Diskussion zwischen den verschiedenen Parteien.,Der Interakteur leitete die Diskussion zwischen den verschiedenen Parteien.
Dier Interessensvertreter*in sprach vor dem Parlament über die Anliegen derer Branche.,Die Interessensvertreterin sprach vor dem Parlament über die Anliegen ihrer Branche.
Dier Imker/in erntete den Honig aus deren Bienenstöcken.,Die Imkerin erntete den Honig aus ihren Bienenstöcken.
Dier Stellvertreter/in übernahm die Aufgaben während der Abwesenheit der Leitung.,Die Stellvertreterin übernahm die Aufgaben während der Abwesenheit der Leitung.
Dier Prüfer:in kontrollierte die Unterlagen sorgfältig.,Die Prüferin kontrollierte die Unterlagen sorgfältig.
Deutschland ist ein_e wichtige:r Handels­partner_in für viele Länder.,Deutschland ist eine wichtige Handels­partnerin für viele Länder.
Dier Aspirant*in bewarb sich um die offene Stelle in der Firma.,Der Aspirant bewarb sich um die offene Stelle in der Firma.
"Die Siedler:innen errichteten ihre neuen Häuser und begannen, das Land zu bewirtschaften.","Die Siedlerinnen errichteten ihre neuen Häuser und begannen, das Land zu bewirtschaften."
