non_gendered,gendered,predicted
"Der Arztbesuch war notwendig, um die Symptome abklären zu lassen.","Der Ärzt*inbesuch war notwendig, um die Symptome abklären zu lassen.","Der Arztbesuch war notwendig, um die Symptome abklären zu lassen."
Er meldete sich als Freiwilliger für die Organisation des Sommerfests.,Dey meldete sich als Freiwillige:r für die Organisation des Sommerfests.,Sie meldete sich als Freiwillige für die Organisation des Sommerfests.
"Die Rehasportlerin nutzte die spezielle Sporttherapie, um ihre Beweglichkeit zurückzugewinnen.","Dier RehasportlerIn nutzte die spezielle Sporttherapie, um deren Beweglichkeit zurückzugewinnen.","Die Rehasportlerin nutzte die spezielle Sporttherapie, um ihre Beweglichkeit zurückzugewinnen."
Die Rentnerinnen suchen nach einer schönen Parkanlage. ,Die Rentner/innen suchen nach einer schönen Parkanlage. ,Die Rentnerinnen suchen nach einer schönen Parkanlage.
Die Gutachter waren sich beim Wert des Hauses nicht einig. ,Die Gutachter/innen waren sich beim Wert des Hauses nicht einig. ,Die Gutachter waren sich beim Wert des Hauses nicht einig.
Der Förster überwachte den Zustand des Waldes.,Dier Förster:in überwachte den Zustand des Waldes.,Der Förster überwachte den Zustand des Waldes.
Der Fußballspieler schoss das entscheidende Tor.,Die fußballspielende Person schoss das entscheidende Tor.,Die Fußballspielerin schoss das entscheidende Tor.
"Die Kursleiterin vermittelte den Teilnehmerinnen die grundlegenden Techniken der Fotografie.
","Dier Kursleiter:in vermittelte den Teilnehmenden die grundlegenden Techniken der Fotografie.
",Der Kursleiter vermittelte den Teilnehmern die grundlegenden Techniken der Fotografie.
Die Straftäterin wurde vor Gericht verurteilt.,Dier Straftäter_in wurde vor Gericht verurteilt.,Der Straftäter wurde vor Gericht verurteilt.
Der General Manager war für den reibungslosen Betrieb des Hotels verantwortlich.,Dier General Manager/in war für den reibungslosen Betrieb des Hotels verantwortlich.,Die General Managerin war für den reibungslosen Betrieb des Hotels verantwortlich.
Die Professorinnen diskutierten über die neuesten Forschungsergebnisse.,Die Professor_innen diskutierten über die neuesten Forschungsergebnisse.,Die Professorinnen diskutierten über die neuesten Forschungsergebnisse.
Die Archäologin entdeckte eine antike Stadt unter dem Sand.,Dier Archäolog:in entdeckte eine antike Stadt unter dem Sand.,Der Archäologe entdeckte eine antike Stadt unter dem Sand.
Nur Karteninhaberinnen haben Zugang zum exklusiven Konzert.,Nur Karteninhaber:innen haben Zugang zum exklusiven Konzert,Nur Karteninhaber haben Zugang zum exklusiven Konzert.
Der Oberbürgermeister eröffnete die neue Stadthalle.,Dier Oberbürgermeister_in eröffnete die neue Stadthalle.,Der Oberbürgermeister eröffnete die neue Stadthalle.
Der Bürgerinsteig ist sehr eng.,Der Gehweg ist sehr eng.,Der Gehweg ist sehr eng.
Die Stammkunden bekommen einen Rabatt auf ihre Einkäufe.,Die Stammkundschaft bekommt einen Rabatt auf ihre Einkäufe.,Die Stammkundschaft erhält einen Rabatt auf ihre Einkäufe.
Die Reiseveranstalterin bot verschiedene Urlaubspakete an.,Dier ReiseveranstalterIn bot verschiedene Urlaubspakete an.,Die Reiseveranstalterin bot verschiedene Urlaubspakete an.
Der Reisende erkundete die unbekannte Stadt.,Die reisende Person erkundete die unbekannte Stadt.,Die Reiserin erkundete die unbekannte Stadt.
Der Schulbegleiter unterstützte das Kind während des Unterrichts und half bei der Integration.,Dier Schulbegleiter/in unterstützte das Kind während des Unterrichts und half bei der Integration.,Der Schulbegleiter unterstützte das Kind während des Unterrichts und half bei der Integration.
... Jedes Kita-Kind kann zum Adventsfrühstück seine Brüder und/oder Schwestern mitbringen.,... Jedes Kita-Kind kann zum Adventsfrühstück seine Geschwister mitbringen.,... Jedes Kita-Kind kann zum Adventsfrühstück seine Geschwister mitbringen.
Die Expertinnenkommission legte ihren Bericht vor.,Die Fachkommission legte ihren Bericht vor.,Die Fachkommission legte ihren Bericht vor.
... Fragen Sie Ihren Ärztin oder Apothekerin.,... Fragen Sie IhreN ÄrztIn oder ApothekerIn.,... Fragen Sie Ihren Arzt oder Apotheker.
Der Dirigent führte das Orchester mit präzisen Bewegungen.,Dier Dirigent:in führte das Orchester mit präzisen Bewegungen.,Der Dirigent führte das Orchester mit präzisen Bewegungen.
Die Stakeholder wurden zu einer Besprechung eingeladen.,Die Stakeholder wurden zu einer Besprechung eingeladen.,Die Stakeholder wurden zu einer Besprechung eingeladen.
"Die Unterstützung einer Kollegin half dabei, die Projektdeadline einzuhalten.","Die kollegiale Unterstützung half dabei, die Projektdeadline einzuhalten.","Die Kollegiale Unterstützung half dabei, die Projektdeadline einzuhalten."
Die Auswanderinnen suchten in einem anderen Land nach einem besseren Leben.,Die Auswandernde suchten in einem anderen Land nach einem besseren Leben.,Die Auswandernde suchten in einem anderen Land nach einem besseren Leben.
Die Vorgesetzte lobte das Team für seine hervorragende Arbeit und gab klare Anweisungen für das nächste Projekt.,Die Führungskraft lobte das Team für seine hervorragende Arbeit und gab klare Anweisungen für das nächste Projekt.,Die Führungskraft lobte das Team für seine hervorragende Arbeit und gab klare Anweisungen für das nächste Projekt.
Die Chirurg:in führte eine komplizierte Operation erfolgreich durch.,Die chirurgische Fachkraft führte eine komplizierte Operation erfolgreich durch.,Die Arztin führte eine komplizierte Operation erfolgreich durch.
Die Sprengbefugte war für die sichere Durchführung von Sprengarbeiten auf der Baustelle verantwortlich.,Dier Sprengbefugte:r war für die sichere Durchführung von Sprengarbeiten auf der Baustelle verantwortlich.,Der Sprengbefugte war für die sichere Durchführung von Sprengarbeiten auf der Baustelle verantwortlich.
Die Asketin lebte ein einfaches und zurückgezogenes Leben.,Dier Asket*in lebte ein einfaches und zurückgezogenes Leben.,Die Asketin lebte ein einfaches und zurückgezogenes Leben.
Das jährliche Mitarbeiteringespräch bietet Raum für Feedback und Zielvereinbarungen.,Das jährliche Mitarbeiter*ingespräch bietet Raum für Feedback und Zielvereinbarungen.,Das jährliche Mitarbeitergespräch bietet Raum für Feedback und Zielvereinbarungen.
Die Gafferin behinderte die Rettungskräfte bei ihrer Arbeit.,Dier Gaffer/in behinderte die Rettungskräfte bei ihrer Arbeit.,Der Gaffer behinderte die Rettungskräfte bei ihrer Arbeit.
Die Sportfreunde trafen sich regelmäßig zum gemeinsamen Training und Austausch über die neuesten Entwicklungen.,Die Sportfreund/innen trafen sich regelmäßig zum gemeinsamen Training und Austausch über die neuesten Entwicklungen.,Die Sportfreundinnen trafen sich regelmäßig zum gemeinsamen Training und Austausch über die neuesten Entwicklungen.
Die Sachverständige überprüfte den Schaden am Auto.,Dier Sachverständige überprüfte den Schaden am Auto.,Die Sachverständige überprüfte den Schaden am Auto.
... Wir danken allen Geschäftspartnerinnen und Freundinnen.,... Wir danken allen Geschäftspartner*innen und Freund*innen.,... Wir danken allen Geschäftspartnerinnen und Freundinnen.
Der Augenoptiker (Geschäft) passte meine neue Brille an.,Dier Augenoptiker*in passte meine neue Brille an.,Der Augenoptiker passte meine neue Brille an.
Das Nachbarhaus wurde kürzlich renoviert.,Das Nachbar*inhaus wurde kürzlich renoviert.,Das Nachbarhaus wurde kürzlich renoviert.
Der Inhaber des Cafés begrüßte alle Gäste persönlich.,Die das Café innehabende Person begrüßte alle Gastpersonen persönlich.,Die Café erhalten begrüßte alle Gastinnen persönlich.
Die Administration verwaltet die Benutzerrechte im System.,Die Administration verwaltet die BenutzerInrechte im System.,Die Administration verwaltet die Benutzerrechte im System.
Der Telemitarbeiter war neu in diesem Berufsfeld.,Dier Telemitarbeiter_in war neu in diesem Berufsfeld.,Die Telemitarbeiterin war neu in diesem Berufsfeld.
Die Personalrätin vertritt die Interessen der Mitarbeiter:innen.,Dier Personalrät:in vertritt die Interessen der Mitarbeiter:innen.,Die Personalrätin vertritt die Interessen der Mitarbeiterinnen.
Die Betrügerin wurde für ihre illegalen Aktivitäten verhaftet.,Dier Betrüger:in wurde für deren illegalen Aktivitäten verhaftet.,Die Betrügerin wurde für ihre illegalen Aktivitäten verhaftet.
Die Lehrstuhlleiter betreuten zahlreiche Forschungsprojekte.,Die Lehrstuhlleiter_innen betreuten zahlreiche Forschungsprojekte.,Die Lehrstuhlleiterinnen betreuten zahlreiche Forschungsprojekte.
Der Quereinsteiger fand schnell seinen Platz im neuen Job.,Dier Quereinsteiger:in fand schnell deren Platz im neuen Job.,Der Quereinsteiger fand schnell seine Platz im neuen Job.
Sie sollten Ihren Lebenspartner in die Planung mit einbeziehen.,Sie sollten Ihre/n Lebenspartner/in in die Planung mit einbeziehen.,Sie sollten Ihre Lebenspartnerin in die Planung mit einbeziehen.
Die Partnerinländer arbeiteten in einem internationalen Handelsabkommen zusammen.,Die PartnerInländer arbeiteten in einem internationalen Handelsabkommen zusammen.,Die Partnerländer arbeiteten in einem internationalen Handelsabkommen zusammen.
Viele Immobilienbesitzer investieren in grüne Energie für ihre Gebäude.,Viele Immobilienbesitzer_innen investieren in grüne Energie für ihre Gebäude.,Viele Immobilienbesitzer investieren in grüne Energie für ihre Gebäude.
"Der Assistenzarzt führte die Operation eigenständig durch, da er bereits viel Erfahrung sammeln konnte.","Dier Assistenzärzt_in führte die Operation eigenständig durch, da dey bereits viel Erfahrung sammeln konnte.","Der Assistenzärzt führte die Operation eigenständig durch, da er bereits viel Erfahrung sammeln konnte."
Die Novizin lernte schnell die Regeln des Klosters.,Dier Noviz*in lernte schnell die Regeln des Klosters.,Die Novizin lernte schnell die Regeln des Klosters.
Die Architektinnen arbeiteten gemeinsam an dem großen Bauprojekt.,Die Architekt_innen arbeiteten gemeinsam an dem großen Bauprojekt.,Die Architektinnen arbeiteten gemeinsam an dem großen Bauprojekt.
Als Vorreiterin in der Branche setzte das Unternehmen neue Standards.,Als voraushandelndes Unternehmen in der Branche setzte das Unternehmen neue Standards.,Als voraushandelndes Unternehmen in der Branche setzte das Unternehmen neue Standards.
Die neue Benutzerfunktion erleichtert die Bedienung erheblich.,Die neue Benutzer_infunktion erleichtert die Bedienung erheblich.,Die neue Benutzerinfunktion erleichtert die Bedienung erheblich.
Die Personalräte trafen sich zu einer wichtigen Besprechung.,Die Mitglieder des Personalrates trafen sich zu einer wichtigen Besprechung.,Die Personalrates trafen sich zu einer wichtigen Besprechung.
Die Grafikerin erstellte beeindruckende Illustrationen für das Magazin.,Die Grafikfachperson erstellte beeindruckende Illustrationen für das Magazin.,Die Grafikfacherin erstellte beeindruckende Illustrationen für das Magazin.
Der Hauswart kümmert sich um die Instandhaltung des Gebäudes.,Dier Hauswart*in kümmert sich um die Instandhaltung des Gebäudes.,Der Hauswart kümmert sich um die Instandhaltung des Gebäudes.
Als Meinungsführerin hatte sie großen Einfluss auf die öffentliche Wahrnehmung des Themas.,Als MeinungsführerIn hatte dey großen Einfluss auf die öffentliche Wahrnehmung des Themas.,Als Meinungsführer hatte sie großen Einfluss auf die öffentliche Wahrnehmung des Themas.
"Als überzeugte Nichtraucherin genoss sie die frische Luft und die gesunde Lebensweise, die sie sich durch ihre Entscheidung bewahrte.","Als überzeugte:r Nichtraucher/in genoss dey die frische Luft und die gesunde Lebensweise, die dey sich durch deren Entscheidung bewahrte.","Als überzeugte Nichtraucherin genoss sie die frische Luft und die gesunde Lebensweise, sie sich durch ihre Entscheidung bewahrte."
Trotz der Beweise blieben einige Zweiflerinnen skeptisch gegenüber der Theorie.,Trotz der Beweise blieben einige Zweifler*innen skeptisch gegenüber der Theorie.,Trotz der Beweise blieben einige Zweiflerinnen skeptisch gegenüber der Theorie.
"Liebe Sportfreunde, schön, dass Ihr heute zur Vollversammlung unseres Vereins gekommen seid!","Liebe Sportfreund/innen, schön, dass Ihr heute zur Vollversammlung unseres Vereins gekommen seid!","Liebe Sportfreundinnen, schön, dass Ihr heute zur Vollversammlung unseres Vereins gekommen seid!"
Der Rentner genießt seine Freizeit im Garten.,Dier Rentner/in genießt deren Freizeit im Garten.,Die Rentnerin genießt ihre Freizeit im Garten.
Die Mittelsfrau vermittelte erfolgreich zwischen den beiden Geschäftspartnerinnen.,Der Mittelsperson vermittelte erfolgreich zwischen den beiden Geschäftspartner*innen.,Der Mittelsmann vermittelte erfolgreich zwischen den beiden Geschäftspartnern.
Der Polizist erschien pünktlich zur Schicht.,Dier Polizist*in erschien pünktlich zur Schicht.,Der Polizist erschien pünktlich zur Schicht.
Der Expertenstab beriet den Vorstand in strategischen Fragen.,Der Expert*innenstab beriet den Vorstand in strategischen Fragen.,Der Expertenstab beriet den Vorstand in strategischen Fragen.
Die Supporterinnen feuerten das Team lautstark an.,Die Supporter_innen feuerten das Team lautstark an.,Die Supporter feuerten das Team lautstark an.
Yasmin ist bei uns als Betreuerin im Kindergarten tätig,Yasmin ist bei uns als Betreuer/in im Kindergarten tätig,Yasmin ist bei uns als Betreuerin im Kindergarten tätig
Die Freundinnen trafen sich jeden Freitagabend.,Die Freund/innen trafen sich jeden Freitagabend.,Die Freundinnen trafen sich jeden Freitagabend.
Die Gymnasiastin bereitete sich auf das Abitur vor.,Dier Gymnasiast*in bereitete sich auf das Abitur vor.,Die Gymnasiastin bereitete sich auf das Abitur vor.
Deutschland könnte eine Vorreiterinrolle im Klimaschutz spielen.,Deutschland könnte eine Führungsrolle im Klimaschutz spielen.,Deutschland könnte eine Führungsrolle im Klimaschutz spielen.
Der Bildungsträger bietet verschiedene Fortbildungskurse an.,Die Bildungseinrichtung bietet verschiedene Fortbildungskurse an.,Die Bildungseinrichtung bietet verschiedene Fortbildungskurse an.
Der Investor zeigte großes Interesse an dem neuen Startup.,Dier Investor*in zeigte großes Interesse an dem neuen Startup.,Die Investorin zeigte großes Interesse an dem neuen Startup.
Der Leiter der Abteilung traf wichtige Entscheidungen bezüglich der Projektplanung.,Dier Leiter/in der Abteilung traf wichtige Entscheidungen bezüglich der Projektplanung.,Der Leiter der Abteilung traf wichtige Entscheidungen bezüglich der Projektplanung.
"Die Entscheidungsträgerin traf sich mit der Projektleitung, um über die zukünftige Strategie zu beraten.","Dier Entscheidungsträger*in traf sich mit der Projektleitung, um über die zukünftige Strategie zu beraten.","Der Entscheidungsträger traf sich mit der Projektleitung, um über die zukünftige Strategie zu beraten."
Die Schulsozialarbeiterin half Schülerinnen bei persönlichen Problemen.,Die Fachkraft für Schulsozialarbeit half der Schülerschaft bei persönlichen Problemen.,Die Schulsozialarbeiterin half der Schülerschaft bei persönlichen Problemen.
Die Leistungsempfängerin musste einen Antrag auf Sozialhilfe ausfüllen.,Dier Leistungsempfänger/in musste einen Antrag auf Sozialhilfe ausfüllen.,Der Leistungsempfänger musste einen Antrag auf Sozialhilfe ausfüllen.
Der Rat einer Fachfrau war in dieser Situation unverzichtbar.,Der Rat einer Fachperson war in dieser Situation unverzichtbar.,Der Rat einer Fachperson war in dieser Situation unverzichtbar.
Es ist Pflicht ein Absolventenpraktikum zu machen,Es ist Pflicht ein Absolvent*inpraktikum zu machen,Es ist Pflicht ein Absolventinpraktikum zu machen
Die Lastkraftwagenfahrerin lieferte die Waren pünktlich an die verschiedenen Supermärkte.,Dier LastkraftwagenfahrerIn lieferte die Waren pünktlich an die verschiedenen Supermärkte.,Die Lastkraftwagenfahrerin lieferte die Waren pünktlich an die verschiedenen Supermärkte.
"Die Wählerininitiative sammelte Unterschriften, um eine Volksabstimmung über das neue Gesetz zu ermöglichen.","Die WählerIninitiative sammelte Unterschriften, um eine Volksabstimmung über das neue Gesetz zu ermöglichen.","Die Wählerinitiative sammelte Unterschriften, um eine Volksabstimmung über das neue Gesetz zu ermöglichen."
... Jede kann teilnehmen.,... Alle können teilnehmen.,... Alle können teilnehmen.
Das Kriegsverbrechertribunal verurteilte die Verantwortlichen für die Gräueltaten.,Das Kriegsverbrecher_intribunal verurteilte die Verantwortlichen für die Gräueltaten.,Das Kriegsverbrechertribunal verurteilte die Verantwortlichen für die Gräueltaten.
Die Nonnen trafen sich mehrfach am Tag zum Gebet.,Die Ordensleute trafen sich mehrfach am Tag zum Gebet.,Die Ordensleute trafen sich mehrfach am Tag zum Gebet.
Die Leserinnen lobten das neue Werk.,Die Leser*innen lobten das neue Werk.,Die Leserinnen lobten das neue Werk.
Der Tunnelbau wurde auf bergfrauische Weise durchgeführt.,Der Tunnelbau wurde auf bergbauweise Weise durchgeführt.,Der Tunnelbau wurde auf bergbauweise Weise durchgeführt.
Der Operateur führte den Eingriff präzise durch.,Dier Operateur:in führte den Eingriff präzise durch.,Die Operateurin führte den Eingriff präzise durch.
Die Rechnungsempfänger öffnen ihre Briefe.,Die RechnungsempfängerInnen öffnen ihre Briefe.,Die Rechnungsempfänger öffnen ihre Briefe.
Die Benutzerinverwaltung ermöglicht die Kontrolle über alle Konten.,Die BenutzerInverwaltung ermöglicht die Kontrolle über alle Konten.,Die Benutzerinverwaltung ermöglicht die Kontrolle über alle Konten.
Die Postbotin brachte ein Paket vorbei.,Die Postzustellung brachte ein Paket vorbei.,Die Postzustellung brachte ein Paket vorbei.
Die Präsidentin hielt eine Ansprache an die Nation.,Dier Präsident_in hielt eine Ansprache an die Nation.,Der Präsident hielt eine Ansprache an die Nation.
Alle Vereinsmitglieder sind zur Hauptversammlung eingeladen.,Alle Vereinszugehörigen sind zur Hauptversammlung eingeladen.,Alle Vereinszugehörigen sind zur Hauptversammlung eingeladen.
Die Bauträgerin kümmerte sich um die Entwicklung des Wohngebiets.,Dier Bauträger*in kümmerte sich um die Entwicklung des Wohngebiets.,Der Bauträger kümmerte sich um die Entwicklung des Wohngebiets.
Der Arbeitnehmervertreter sprach die Anliegen der Belegschaft an.,Der Arbeitnehmer_invertreter sprach die Anliegen der Belegschaft an.,Der Arbeitnehmervertreter sprach die Anliegen der Belegschaft an.
Der Passagier wartete geduldig auf seinen Flug.,Dier Passagier*in wartete geduldig auf deren Flug.,Die Passagierin wartete geduldig auf ihren Flug.
Die Referendarin absolvierte ihr Praktikum an der Schule.,Dier Referendar:in absolvierte deren Praktikum an der Schule.,Der Referendar absolvierte seine Praktikum an der Schule.
"Die Künstlerin stellte ihre neuen Werke in der Galerie aus.
",Dier KünstlerIn stellte deren neuen Werke in der Galerie aus.,Der Künstler stellte seine neuen Werke in der Galerie aus.
Sein weltmännisches Auftreten beeindruckte alle auf der Konferenz.,Deren kosmopolitisches Auftreten beeindruckte alle auf der Konferenz.,Ihre kosmopolitisches Auftreten beeindruckte alle auf der Konferenz.
Die Einwohnerinzahl der Stadt hat in den letzten Jahren stetig zugenommen.,Die Anzahl der Einwohnenden der Stadt hat in den letzten Jahren stetig zugenommen.,Die Anzahl der Einwohnen der Stadt hat in den letzten Jahren stetig zugenommen.
Der Zeuge sagte im Gerichtsprozess gegen den Angeklagten aus.,Dier Zeug*in sagte im Gerichtsprozess gegen dier Angeklagte*n aus.,Der Zeugin sagte im Gerichtsprozess gegen den Angeklagten aus.
Die Familienbegleiterin unterstützte die Familie während der schwierigen Zeit.,Dier Familienbegleiter:in unterstützte die Familie während der schwierigen Zeit.,Die Familienbegleiterin unterstützte die Familie während der schwierigen Zeit.
Während der Pandemie sicherte das Kurzarbeitergeld vielen Menschen das Einkommen.,Während der Pandemie sicherte das Kurzarbeiter*ingeld vielen Menschen das Einkommen.,Während der Pandemie sicherte das Kurzarbeiteringeld vielen Menschen das Einkommen.
Der Kreisbeigeordnete ist für die sozialen Belange im Landkreis zuständig.,Dier Kreisbeigeordnete ist für die sozialen Belange im Landkreis zuständig.,Der Kreisbeigeordnete ist für die sozialen Belange im Landkreis zuständig.
Der Performer beeindruckte das Publikum mit seiner Show.,Dier Performer_in beeindruckte das Publikum mit deren Show.,Die Performerin beeindruckte das Publikum mit ihrer Show.
"Die Therapeuten des Rehabilitationszentrums arbeiten eng mit den Patienten zusammen, um deren Genesung zu fördern.","Die TherapeutInnen des Rehabilitationszentrums arbeiten eng mit den PatientInnen zusammen, um deren Genesung zu fördern.","Die Therapeutinnen des Rehabilitationszentrums arbeiten eng mit den Patientinnen zusammen, um ihre Genesung zu fördern."
... An der Oper arbeiten 30 hauptberufliche Sänger.,... An der Oper arbeiten 30 hauptberufliche Sänger*innen.,... An der Oper arbeiten 30 hauptberufliche Sänger.
Der Matrose sicherte die Taue am Schiff.,Dier Matros*in sicherte die Taue am Schiff.,Die Matrosin sicherte die Taue am Schiff.
Der Schwimmlehrer brachte den Kindern das Tauchen bei.,Dier Schwimmlehrer:in brachte den Kindern das Tauchen bei.,Die Schwimmlehrerin brachte den Kindern das Tauchen bei.
Menschen kamen aus aller Herren Länder.,Menschen kamen aus aller Welt.,Menschen kamen aus aller Welt.
Bitte prüfen Sie Ihre Nutzerineingabe auf Fehler.,Bitte prüfen Sie Ihre Nutzer*ineingabe auf Fehler.,Bitte prüfen Sie Ihre Nutzeringabe auf Fehler.
Die Kinder bauten eine große Schneefrau im Garten.,Die Kinder bauten eine große Schneefigur im Garten.,Die Kinder bauten eine große Schneefigur im Garten.
"Die Mofafahrerin fuhr vorsichtig, um sicher durch den dichten Verkehr zu kommen.","Die Mofa fahrende Person fuhr vorsichtig, um sicher durch den dichten Verkehr zu kommen.","Die Mofafahrende fuhr vorsichtig, um sicher durch den dichten Verkehr zu kommen."
Der Entwickler arbeitet an einem neuen Softwareprojekt.,Dier EntwicklerIn arbeitet an einem neuen Softwareprojekt.,Der Entwickler arbeitet an einem neuen Softwareprojekt.
Der Bäuerinhof produziert frische Milch und Eier.,Der Bäuer_inhof produziert frische Milch und Eier.,Der Bäuerinhof produziert frische Milch und Eier.
Die Physikerin erforscht die Eigenschaften von Teilchen.,Dier Physiker_in erforscht die Eigenschaften von Teilchen.,Der Physiker erforscht die Eigenschaften von Teilchen.
Die Asketin lebte ein einfaches und zurückgezogenes Leben.,Dier Asket/in lebte ein einfaches und zurückgezogenes Leben.,Die Asketin lebte ein einfaches und zurückgezogenes Leben.
Die Oppositionelle kritisierte die Regierung scharf.,Dier Oppositionelle kritisierte die Regierung scharf.,Der Oppositionelle kritisierte die Regierung scharf.
Der Übungsleiter zeigte den Teilnehmern neue Techniken zur Verbesserung ihrer Fitness.,Dier Übungsleiter*in zeigte den Teilnehmer*innen neue Techniken zur Verbesserung ihrer Fitness.,Der Übungsleiter zeigte den Teilnehmern neue Techniken zur Verbesserung ihrer Fitness.
Die Chemikerin entwickelte eine neue Formel für ein umweltfreundliches Reinigungsmittel.,Dier Chemiker:in entwickelte eine neue Formel für ein umweltfreundliches Reinigungsmittel.,Der Chemiker entwickelte eine neue Formel für ein umweltfreundliches Reinigungsmittel.
Als echte Globetrotterinnen hatten sie bereits alle Kontinente bereist.,Als echte Globetrotter:innen hatten sie bereits alle Kontinente bereist.,Als echte Globetrotter hatten sie bereits alle Kontinente bereist.
... Fragen Sie Ihre Ärztin oder Apothekerin.,... Holen Sie sich ärztlichen oder pharmazeutischen Rat. ,... Holen Sie sich ärztlichen oder pharmazeutischen Rat.
Die Zeitzeug:in berichtete von den Ereignissen des Zweiten Weltkriegs.,Dier ZeitzeugIn berichtete von den Ereignissen des Zweiten Weltkriegs.,Die Zeitzeugin berichtete von den Ereignissen des Zweiten Weltkriegs.
Der Funktionär organisierte die Vereinsveranstaltungen.,Die in Funktion gewählte Person organisierte die Vereinsveranstaltungen.,Die Infunktion gewählte organisierte die Vereinsveranstaltungen.
Seit ich als Agentin arbeite habe ich viel Freude daran zur Arbeit zu gehen.,Seit ich als Agent*in arbeite habe ich viel Freude daran zur Arbeit zu gehen.,Seit ich als Agentin arbeite habe ich viel Freude daran zur Arbeit zu gehen.
Jeder Mensch hat das Recht auf Freiheit und Sicherheit.,Jeder Mensch hat das Recht auf Freiheit und Sicherheit.,Jeder Mensch hat das Recht auf Freiheit und Sicherheit.
Der Schwimmer gewann die Goldmedaille im Wettkampf.,Dier Schwimmer/in gewann die Goldmedaille im Wettkampf.,Die Schwimmerin gewann die Goldmedaille im Wettkampf.
Der Italiener bereitete ein traditionelles Pasta-Gericht zu.,Dier Italiener:in bereitete ein traditionelles Pasta-Gericht zu.,Die Italienerin bereitete ein traditionelles Pasta-Gericht zu.
Der Sozialleistungsträger kümmert sich um die Auszahlung von Sozialleistungen an Bedürftige.,Dier SozialleistungsträgerIn kümmert sich um die Auszahlung von Sozialleistungen an Bedürftige.,Der Sozialleistungsträger kümmert sich um die Auszahlung von Sozialleistungen an Bedürftige.
Der Gerüstbauer montierte das Gerüst am Hochhaus.,Dier Gerüstbauer_in montierte das Gerüst am Hochhaus.,Die Gerüstbauerin montierte das Gerüst am Hochhaus.
Die Schwimmmeisterin überwachte die Sicherheit im Schwimmbad.,Dier Schwimmmeister/in überwachte die Sicherheit im Schwimmbad.,Die Schwimmmeisterin überwachte die Sicherheit im Schwimmbad.
Der Kanzler hielt eine wichtige Rede im Parlament und betonte die Bedeutung von Zusammenhalt und Solidarität.,Das Regierungsoberhaupt hielt eine wichtige Rede im Parlament und betonte die Bedeutung von Zusammenhalt und Solidarität.,Die Regierungsoberhauptin hielt eine wichtige Rede im Parlament und betonte die Bedeutung von Zusammenhalt und Solidarität.
Die Anhängerin unterstützen ihr Team bei jedem Spiel. ,Die Anhänger*in unterstützen ihr Team bei jedem Spiel. ,Die Anhängerin unterstützen ihr Team bei jedem Spiel.
Die Kassiererin scannte die Produkte schnell und effizient und sorgte für einen reibungslosen Bezahlvorgang an der Kasse.,Dier Kassierer/in scannte die Produkte schnell und effizient und sorgte für e/inen reibungslosen Bezahlvorgang an der Kasse.,Der Kassierer scannte die Produkte schnell und effizient und sorgte für seine reibungslosen Bezahlvorgang an der Kasse.
Die Kommentatoren boten den Zuschauern bei der Live-Übertragung eine vielfältige Perspektive auf das Geschehen.,Die Kommentare der Medienschaffenden boten den zuschauenden Personen bei der Live-Übertragung eine vielfältige Perspektive auf das Geschehen.,Die Medienschaffenden boten den Zuschauerinnen bei der Live-Übertragung eine vielfältige Perspektive auf das Geschehen.
"Die Passinhaberin musste ihren Reisepass vorzeigen, um die Sicherheitskontrolle zu passieren.","Dier Passinhaber:in musste deren Reisepass vorzeigen, um die Sicherheitskontrolle zu passieren.","Die Passinhaberin musste ihrer Reisepass vorzeigen, um die Sicherheitskontrolle zu passieren."
Der Blindenführer half dem sehbehinderten Mann sicher über die Straße.,Die Begleitung für blinde Menschen half der sehbehinderten Person sicher über die Straße.,Die Blinderin half der Sehbehindertenin sicher über die Straße.
Die Rednerin begeisterte das Publikum mit ihrem Vortrag.,Dier RednerIn begeisterte das Publikum mit deren Vortrag.,Die Rednerin begeisterte das Publikum mit ihrer Vortrag.
Die landwirtschaftlichen Erzeugerinnen stellten frische Produkte bereit.,Die landwirtschaftlichen ErzeugerInnen stellten frische Produkte bereit.,Die landwirtschaftlichen Erzeuger stellten frische Produkte bereit.
Die Erzählerin hielt die Kinder mit spannenden Geschichten in Atem.,Dier Erzähler/in hielt die Kinder mit spannenden Geschichten in Atem.,Der Erzähler hielt die Kinder mit spannenden Geschichten in Atem.
Die Reiseveranstalterin bot verschiedene Urlaubspakete an.,Die Reiseveranstaltenden boten verschiedene Urlaubspakete an.,Die Reiseveranstalten boten verschiedene Urlaubspakete an.
Der Spaziergänger genoss das schöne Wetter im Park.,Dier Spaziergänger:in genoss das schöne Wetter im Park.,Die Spaziergängerin genoss das schöne Wetter im Park.
Die Kriminalbeamtin führte die Ermittlungen im Betrugsfall durch.,Die Person im Beamtenverhältnis bei der Kriminalpolizei führte die Ermittlungen im Betrugsfall durch.,Die Kriminalpolizei führte die Ermittlungen im Betrugsfall durch.
Der Interessensvertreter sprach vor dem Parlament über die Anliegen seiner Branche.,Dier Interessensvertreter/in sprach vor dem Parlament über die Anliegen derer Branche.,Der Interessensvertreter sprach vor dem Parlament über die Anliegen seiner Branche.
Das Forscherteam arbeitete rund um die Uhr an der Lösung des Problems.,Das Forscher:inteam arbeitete rund um die Uhr an der Lösung des Problems.,Das Forscherinteam arbeitete rund um die Uhr an der Lösung des Problems.
