gendered,non_gendered
Die Student/innenstadt war bekannt für ihre lebendige Atmosphäre und zahlreiche kulturelle Veranstaltungen.,Die Studentenstadt war bekannt für ihre lebendige Atmosphäre und zahlreiche kulturelle Veranstaltungen.
Als der Mensch für alles in unserem Büro ist dey für alle administrativen Aufgaben zuständig.,Als der Junge für alles in unserem Büro ist er für alle administrativen Aufgaben zuständig.
Die*der Aussiedler*in kaufte ein Haus auf Mallorca und genoss deren Rente in vollen Zügen.,Die Aussiedlerin kaufte ein Haus auf Mallorca und genoss ihre Rente in vollen Zügen.
Die Bauträger:innen waren überfordert mit der größe des neuen Bauprojektes.,Die Bauträger waren überfordert mit der größe des neuen Bauprojektes.
Die Entdeckenden machten eine sensationelle Entdeckung.,Die Entdecker machten eine sensationelle Entdeckung.
Der Bürger*insteig ist sehr eng.,Der Bürgersteig ist sehr eng.
"Das Stehaufchen auf dem Tisch wackelte bei jedem Stoß, aber es fiel nie um.","Das Stehaufchen auf dem Tisch wackelte bei jedem Stoß, aber es fiel nie um."
Dier ErsthelferIn reagierte schnell und rettete das Leben der verletzten Person.,Die Ersthelferin reagierte schnell und rettete das Leben der Verletzten.
"Unser Unternehmen verfolgt eine strikt kund_inorientierte Strategie, um die Zufriedenheit zu maximieren.","Unser Unternehmen verfolgt eine strikt kundenorientierte Strategie, um die Zufriedenheit zu maximieren."
Der neue Bahnhof verfügt über einen barrierefreien Zugang für Rollstuhlfahrende.,Der neue Bahnhof verfügt über einen barrierefreien Zugang für Rollstuhlfahrerinnen.
Dier Follower*in wartete gespannt auf das nächste Video.,Die Followerin wartete gespannt auf das nächste Video.
Die Ehepartnerin zeigte stolz ihren Eher_ing.,Die Ehepartnerin zeigte stolz ihren Ehering.
Ärzt*innen aus verschiedenen Fachrichtungen trafen zusammen.,Ärzte aus verschiedenen Fachrichtungen trafen zusammen.
Dier Attentäter*in wurde von der Polizei gefasst.,Der Attentäter wurde von der Polizei gefasst.
Die Bundespräsident:inwahl findet alle fünf Jahre statt.,Die Bundespräsidentinwahl findet alle fünf Jahre statt.
Der Dachkonzern ist weltweit tätig.,Der Mutterkonzern ist weltweit tätig.
"Die Passagier*innen wurden gebeten, sich zur Sicherheitskontrolle zu begeben.","Die Passagiere wurden gebeten, sich zur Sicherheitskontrolle zu begeben."
"Die Mitarbeiter*inschulung half den neuen Angestellten, ihre Aufgaben besser zu verstehen.","Die Mitarbeiterinschulung half den neuen Angestellten, ihre Aufgaben besser zu verstehen."
"Das Geschäft wurde durch ein eine informelle Vereinbarung besiegelt, ohne formellen Vertrag.","Das Geschäft wurde durch ein Gentlewomen's Agreement besiegelt, ohne formellen Vertrag."
Die Praktikant_innen erhielten Einblick in verschiedene Abteilungen.,Die Praktikantinnen erhielten Einblick in verschiedene Abteilungen.
Dier Angeklagte bestreitet deren Schuld vehement.,Der Angeklagte bestreitet seine Schuld vehement.
"Die Kommiliton/innen trafen sich regelmäßig in der Bibliothek, um gemeinsam zu lernen und sich gegenseitig zu unterstützen.","Die Kommilitoninnen trafen sich regelmäßig in der Bibliothek, um gemeinsam zu lernen und sich gegenseitig zu unterstützen."
"Der Sprecher*in-Hörer*in-Wechsel in der Kommunikation stellt sicher, dass beide Parteien abwechselnd sprechen und zuhören.","Der Sprecherin-Hörerin-Wechsel in der Kommunikation stellt sicher, dass beide Parteien abwechselnd sprechen und zuhören."
Die Zoobesucher/innen erfreuten sich an den neu renovierten Gehegen und den verschiedenen Tieren im Park.,Die Zoobesucherinnen erfreuten sich an den neu renovierten Gehegen und den verschiedenen Tieren im Park.
Die FreelancerIn arbeitete an verschiedenen Projekten.,Der Freelancer arbeitete an verschiedenen Projekten.
Die erzählende Person hielt die Kinder mit spannenden Geschichten in Atem.,Der Erzähler hielt die Kinder mit spannenden Geschichten in Atem.
Die Erziehungsberechtigten kümmerten sich um die Anmeldung ihrer Kinder.,Die Erziehungsberechtigten kümmerten sich um die Anmeldung ihrer Kinder.
"Die Software entwickelnde Person, die das neue System programmiert hat, erhielt viel Lob für ihre innovative Arbeit.","Die Softwareentwicklerin, die das neue System programmiert hat, erhielt viel Lob für ihre innovative Arbeit."
"Selbst als Manager_in behält dey stets ein offenes Ohr für die Anliegen deren Teams und arbeitet eng mit ihnen zusammen, um gemeinsam die Unternehmensziele zu erreichen.","Selbst als Manager behält er stets ein offenes Ohr für die Anliegen seines Teams und arbeitet eng mit ihnen zusammen, um gemeinsam die Unternehmensziele zu erreichen."
Morgen findet das Abteilungsleiter_intreffen statt,Morgen findet das Abteilungsleitertreffen statt
Die Geschwister 2. Grades spielten zusammen im Garten.,Die Cousins spielten zusammen im Garten.
"Selbst als Manager:in behält dey stets ein offenes Ohr für die Anliegen deren Teams und arbeitet eng mit ihnen zusammen, um gemeinsam die Unternehmensziele zu erreichen.","Selbst als Managerin behält sie stets ein offenes Ohr für die Anliegen ihres Teams und arbeitet eng mit ihnen zusammen, um gemeinsam die Unternehmensziele zu erreichen."
"Die Unterzeichner*innen des Vertrags verpflichteten sich, die vereinbarten Bedingungen innerhalb der festgelegten Frist zu erfüllen.","Die Unterzeichnerinnen des Vertrags verpflichteten sich, die vereinbarten Bedingungen innerhalb der festgelegten Frist zu erfüllen."
Bei der Ministerpräsident:innenkonferenz wurden wichtige politische Entscheidungen getroffen.,Bei der Ministerpräsidentinnenkonferenz wurden wichtige politische Entscheidungen getroffen.
Dier Schüler*invertreter*in setzte sich für die Belange der Klasse ein.,Die Schülerinvertreterin setzte sich für die Belange der Klasse ein.
Dier Radiolog*in analysierte die Röntgenbilder.,Die Radiologin analysierte die Röntgenbilder.
Dier Peiniger*in wurde nach einer langen Vernehmung festgenommen und vor Gericht gestellt.,Die Peinigerin wurde nach einer langen Vernehmung festgenommen und vor Gericht gestellt.
"Das versteht ein Mensch nur, wenn es ihm selbst schon mal so gegangen ist.","Das versteht man nur, wenn es einem selbst schon mal so gegangen ist."
Der Schwimmmeister:inraum enthält alle Sicherheitsausrüstungen.,Der Schwimmmeisterraum enthält alle Sicherheitsausrüstungen.
"Dier Ärzt*in öffnete deren Ärzt*inkoffer, um das notwendige Werkzeug herauszuholen.","Die Ärztin öffnete ihren Ärztinkoffer, um das notwendige Werkzeug herauszuholen."
An den Unis gibt es immer ein/e Aktivist/in.,An den Unis gibt es immer eine Aktivistin.
Dier Auftraggeber:in definierte die Projektziele klar und präzise.,Der Auftraggeber definierte die Projektziele klar und präzise.
Als Generalist:in verfügte dey über umfassendes Wissen in vielen Bereichen.,Als Generalistin verfügte sie über umfassendes Wissen in vielen Bereichen.
Dier Editor/in veröffentlichte deren neues Buch.,Die Editorin veröffentlichte ihr neues Buch.
... Wer betreut Ihre Promotion?,... Wer ist Ihre Doktormutter?
Dey entschied sich für eine Beamt:innenlaufbahn im öffentlichen Dienst.,Er entschied sich für eine Beamtenlaufbahn im öffentlichen Dienst.
Die Nachbar:innen luden zum Grillfest ein.,Die Nachbarn luden zum Grillfest ein.
"Deren Expert/inwissen half, das Problem schnell zu lösen.","Ihr Expertinwissen half, das Problem schnell zu lösen."
Die Interessent_innen schauten sich alles vor dem Kauf penibel an.,Die Interessenten schauten sich alles vor dem Kauf penibel an.
Dier Peiniger/in wurde nach einer langen Vernehmung festgenommen und vor Gericht gestellt.,Die Peinigerin wurde nach einer langen Vernehmung festgenommen und vor Gericht gestellt.
"Dier TüftlerIn verbrachte Stunden in deren Werkstatt, um das neue Gerät zu perfektionieren.","Der Tüftler verbrachte Stunden in seiner Werkstatt, um das neue Gerät zu perfektionieren."
Die Bürger*inmeister*inkandidat*in präsentierte deren Pläne für die Stadt.,Die Bürgerinmeisterinkandidatin präsentierte ihre Pläne für die Stadt.
"Dier Weinkenner:in empfahl einen hervorragenden Wein, der perfekt zu dem Abendessen passte.","Der Weinkenner empfahl einen hervorragenden Wein, der perfekt zu dem Abendessen passte."
Dier Zuwander_in kam in der Stadt an.,Der Zuwanderer kam in der Stadt an.
Dey verstand sich als Vertreter:in des kleinen Menschen.,Er verstand sich als Vertreter des kleinen Mannes.
Die Bewerber_inzahlen für die Stelle waren überraschend hoch.,Die Bewerberinzahlen für die Stelle waren überraschend hoch.
Dier Geolog:in untersuchte die Gesteinsformationen in der Region.,Der Geologe untersuchte die Gesteinsformationen in der Region.
Dier ShowmasterIn führte durch die TV-Show und unterhielt das Publikum mit Witzen und Spielen.,Der Showmaster führte durch die TV-Show und unterhielt das Publikum mit Witzen und Spielen.
"Die Person, die vorher eine Rede gehalten hat, machte einige wichtige Punkte, die ich nun vertiefen möchte.","Der Vorredner machte einige wichtige Punkte, die ich nun vertiefen möchte."
Die Pionier/inarbeit im Bereich erneuerbare Energien legte den Grundstein für viele heutige Technologien.,Die Pionierarbeit im Bereich erneuerbare Energien legte den Grundstein für viele heutige Technologien.
Die herrschende Drachenperson kämpfte tapfer gegen das Ungeheuer.,Der Drachenlord kämpfte tapfer gegen das Ungeheuer.
Die Rettungsassistenz leistete erste Hilfe am Unfallort.,Der Rettungsassistent leistete erste Hilfe am Unfallort.
"Die Bauherr/innen trafen sich, um den Bauplan zu besprechen.","Die Bauherren trafen sich, um den Bauplan zu besprechen."
Die Benutzer/inschnittstelle ist intuitiv und benutzer/infreundlich.,Die Benutzerschnittstelle ist intuitiv und benutzerfreundlich.
Dier Preisträger*in wurde für deren herausragende Leistung ausgezeichnet.,Die Preisträgerin wurde für ihre herausragende Leistung ausgezeichnet.
Die Host_essen begrüßten die Gäst_innen auf der Veranstaltung.,Die Hostessen begrüßten die Gästinnen auf der Veranstaltung.
Ohne die Administrator/innen wären wir schon längst aufgeschmissen,Ohne die Administratoren wären wir schon längst aufgeschmissen
Dier Erzeuger:in verkauft deren Produkte direkt auf dem Markt.,Der Erzeuger verkauft seine Produkte direkt auf dem Markt.
Dier Lehrling begann deren Ausbildung mit viel Enthusiasmus.,Die Lehrling begann ihre Ausbildung mit viel Enthusiasmus.
... An der Oper arbeiten 30 hauptberufliche Sänger:innen.,... An der Oper arbeiten 30 hauptberufliche Sänger.
Dier AnwenderIn der Software war mit der Oberfläche sehr zufrieden.,Die Anwenderin der Software war mit der Oberfläche sehr zufrieden.
Mit deren bahnbrechender Forschung war dey wegbereitende Person für viele neue Entdeckungen.,Mit seiner bahnbrechenden Forschung war er Wegbereiter für viele neue Entdeckungen.
Die Schlagperson erzielte im Cricket-Match einige wichtige Runs für das Team.,Die Schlagfrau erzielte im Cricket-Match einige wichtige Runs für das Team.
Die Gäst*infreund*inschaft der Familie war überwältigend.,Die Gastfreundschaft der Familie war überwältigend.
Dier Informatiker:in entwickelte eine neue Software zur Datenanalyse.,Die Informatikerin entwickelte eine neue Software zur Datenanalyse.
"Gerade hat mir die busfahrende Person die Türen nochmal aufgemacht, obwohl dey sie schon geschlossen hatte.","Gerade hat mir die Busfahrer die Türen nochmal aufgemacht, obwohl er sie schon geschlossen hatte."
Der Säugling schlief friedlich in seinem Bettchen.,Der Säugling schlief friedlich in seinem Bettchen.
Dier Professor:in hielt eine Vorlesung über Quantenphysik.,Der Professor hielt eine Vorlesung über Quantenphysik.
Dier Ankläger_in erhebt schwere Vorwürfe.,Der Ankläger erhebt schwere Vorwürfe.
Dier Überbringer_in der Nachricht wartete geduldig auf eine Antwort.,Der Überbringer der Nachricht wartete geduldig auf eine Antwort.
... Jedes Kita-Kind kann zum Adventsfrühstück seine Geschwister mitbringen.,... Jedes Kita-Kind kann zum Adventsfrühstück seine Brüder und/oder Schwestern mitbringen.
"Dier Beauftragte für Datenschutz stellte sicher, dass alle Regeln eingehalten wurden.","Die Beauftragte für Datenschutz stellte sicher, dass alle Regeln eingehalten wurden."
"Die Ampelfiguren helfen dabei, den Verkehr zu regeln. ","Die Ampelfiguren helfen dabei, den Verkehr zu regeln. "
... Person über Bord!,... Frau über Bord!
Die Menschen trafen sich zum jährlichen Ball.,Die Herrschaften trafen sich zum jährlichen Ball.
"Die Strohpersonen in der Organisation wurden eingesetzt, um illegale Geschäfte zu verschleiern.","Die Strohmänner in der Organisation wurden eingesetzt, um illegale Geschäfte zu verschleiern."
Dier Tierhalter*in bringt im Urlaub deren Katze immer in eine Pension. ,Die Tierhalterin bringt im Urlaub ihre Katze immer in eine Pension. 
Dier Tierschützer*in startet eine Kampagne zum Schutz der Wale. ,Der Tierschützer startet eine Kampagne zum Schutz der Wale. 
"... Die Parteien hoffen, dass am Sonntag möglichst viele Wähler*in zur Urne gehen.","... Die Parteien hoffen, dass am Sonntag möglichst viele Wählerin zur Urne gehen."
Die kommunizierende Person übernahm die Leitung der Pressekonferenz.,Der erfahrene Kommunikator übernahm die Leitung der Pressekonferenz.
Die Dönerfachkraft bereitete den besten Döner der Stadt zu.,Die Dönerfrau bereitete den besten Döner der Stadt zu.
Von Seiten des Netzbetriebs wird eine bessere Infrastruktur für schnelles Internet gefordert.,Der Netzbetreiber fordert eine bessere Infrastruktur für schnelles Internet.
Der auffällige Leberfleck wurde kleiner.,Das auffällige Muttermal wurde kleiner.
"Die Kund*innen waren mit dem freundlichen Service des Geschäfts sehr zufrieden.
","Die Kundinnen waren mit dem freundlichen Service des Geschäfts sehr zufrieden.
"
Medien und politische Beobachter:innen gehen von zwei möglichen Szenarien aus.,Medien und politische Beobachter gehen von zwei möglichen Szenarien aus.
Dier RechtshänderIn schrieb flüssig mit dem Kugelschreiber.,Die Rechtshänderin schrieb flüssig mit dem Kugelschreiber.
Dier Bot/in überbrachte die dringende Nachricht schnell und zuverlässig.,Die Botin überbrachte die dringende Nachricht schnell und zuverlässig.
Nur wenige Mitwisser/innen kannten das Geheimnis.,Nur wenige Mitwisser kannten das Geheimnis.
Ein Benutzer/infehler führte zu einem Systemabsturz.,Ein Benutzerinfehler führte zu einem Systemabsturz.
Als Muttersprachler_in kann dey den Text fehlerfrei übersetzen.,Als Muttersprachler kann er den Text fehlerfrei übersetzen.
Die Beamt_innen überprüften die Dokumente sorgfältig.,Die Beamtinnen überprüften die Dokumente sorgfältig.
Die individuelle Entscheidung fiel auf das einfachste System.,Die Benutzerentscheidung fiel auf das einfachste System.
Die Strichfigur auf der Tafel illustrierte die grundlegenden Bewegungsabläufe in der Gymnastikstunde.,Die Strichfrau auf der Tafel illustrierte die grundlegenden Bewegungsabläufe in der Gymnastikstunde.
Die Webseite ist sehr nutzungsfreundlich gestaltet.,Die Webseite ist sehr nutzerinorientiert gestaltet.
"Dier Wähler_in ging zur Urne, um deren Stimme abzugeben.","Die Wählerin ging zur Urne, um ihre Stimme abzugeben."
Die Elternberatung bietet Unterstützung für frischgebackene Eltern.,Die Mütterberatung bietet Unterstützung für frischgebackene Mütter.
Der Bundestagsvorsitz leitete die Sitzung im Parlament.,Der Bundestagspräsident leitete die Sitzung im Parlament.
Gute MitarbeiterInführung ist entscheidend für den Erfolg eines Unternehmens.,Gute Mitarbeiterinführung ist entscheidend für den Erfolg eines Unternehmens.
Die SchlichterIn vermittelte im Streit.,Die Schlichterin vermittelte im Streit.
Die Systembetreuung überwachte die IT-Infrastruktur des Unternehmens und sorgte für eine reibungslose Funktionalität.,Die Systembetreuerin überwachte die IT-Infrastruktur des Unternehmens und sorgte für eine reibungslose Funktionalität.
Die Pilgernden machten sich auf den Weg zur heiligen Stätte.,Die Pilger machten sich auf den Weg zur heiligen Stätte.
Dier Verursacher/in des Unfalls meldete sich bei der Polizei.,Die Verursacherin des Unfalls meldete sich bei der Polizei.
Die Hebammen arbeiteten im Krankenhaus und betreuten die Schwangeren.,Die Hebammen arbeiteten im Krankenhaus und betreuten die Schwangeren.
Die Proband_innen mussten verschiedene Tests durchführen.,Die Probanden mussten verschiedene Tests durchführen.
Die neue Benutzer:infunktion erleichtert die Bedienung erheblich.,Die neue Benutzerinfunktion erleichtert die Bedienung erheblich.
... Ein-Personen-Betrieb,... Ein-Mann-Betrieb
Die ExpertInnenkommission legte ihren Bericht vor.,Die Expertenkommission legte ihren Bericht vor.
"Das Casemanagement wird von speziell geschulten Fachkräften durchgeführt, um eine effiziente Lösung zu finden.",Der Casemanager ist eine geschulte Fachkraft und findet eine effiziente Lösung .
Die Bundespräsident*inwahl findet alle fünf Jahre statt.,Die Bundespräsidentenwahl findet alle fünf Jahre statt.
Wir sind seit langem Partner:innen.,Wir sind seit langem Partner.
Die bietende Person gewann die Auktion mit dem höchsten Gebot.,Der Bieter gewann die Auktion mit dem höchsten Gebot.
Die Person ist Bachelor of Arts in Geschichte.,Sie ist Bachelor of Arts in Geschichte.
"Deren unternehmerischer Geist und deren innovativen Ideen halfen dem Unternehmen, in kürzester Zeit zu wachsen und neue Märkte zu erschließen.","Sein Unternehmergeist und seine innovativen Ideen halfen dem Unternehmen, in kürzester Zeit zu wachsen und neue Märkte zu erschließen."
Als Elterntteil hat dey viel Verantwortung für deren Kinder.,Als Familienvater hat er viel Verantwortung für seine Kinder.
Die FahrerIntür klemmte und musste repariert werden.,Die Fahrer:intür klemmte und musste repariert werden.
Dey bewarb sich auf die freie Lektoratsstelle bei einem renommierten Verlag.,Sie bewarb sich auf die freie Lektorinstelle bei einem renommierten Verlag.
Deren Hose war blau.,Ihre Hose war blau.
Humanitäre Helfer:innen leisteten in der Krisenregion dringend benötigte Hilfe.,Humanitäre Helfer leisteten in der Krisenregion dringend benötigte Hilfe.
Dier ArchäologIn entdeckte eine antike Stadt unter dem Sand.,Der Archäologe entdeckte eine antike Stadt unter dem Sand.
Das Lektorat überarbeitete das Manuskript.,Die Lektorin überarbeitete das Manuskript.
Dier Unterzeichner*in des Vertrags akzeptierte die Bedingungen.,Der Unterzeichner des Vertrags akzeptierte die Bedingungen.
"Dier UrheberIn des Gemäldes bleibt oft anonym, aber deren Kunst spricht für sich selbst.","Der Urheber des Gemäldes bleibt oft anonym, aber seine Kunst spricht für sich selbst."
"Dey war eine Austauschperson in China und hat dort viel über die Kultur, Leben und Schulstruktur gelernt","Sie war eine Austauschpartnerin in China und hat dort viel über die Kultur, Leben und Schulstruktur gelernt"
Das SenderIn-Nachricht-EmpfängerIn-Modell erklärt die grundlegenden Elemente der Kommunikation zwischen zwei Parteien.,Das Sender-Nachricht-Empfänger-Modell erklärt die grundlegenden Elemente der Kommunikation zwischen zwei Parteien.
"Die Zeug/innen wurden gebeten, ihre Aussagen schriftlich zu bestätigen.","Die Zeugen wurden gebeten, ihre Aussagen schriftlich zu bestätigen."
Im Bürger*inamt kann man einen neuen Personalausweis beantragen.,Im Bürgeramt kann man einen neuen Personalausweis beantragen.
Dier Händler/in verkaufte frisches Obst und Gemüse auf dem Markt.,Der Händler verkaufte frisches Obst und Gemüse auf dem Markt.
Die Student/innen diskutierten über das neue Forschungsprojekt.,Die Studentinnen diskutierten über das neue Forschungsprojekt.
Dier Kandidat:in stellte deren Visionen und Pläne für die Zukunft des Landes bei einer öffentlichen Debatte vor.,Die Kandidatin stellte ihre Visionen und Pläne für die Zukunft des Landes bei einer öffentlichen Debatte vor.
"Die Verfassenden des Sachbuchs reisten um die Welt, um ihre Recherchen abzuschließen und authentische Einblicke zu gewinnen.","Die Autorinnen des Sachbuchs reisten um die Welt, um ihre Recherchen abzuschließen und authentische Einblicke zu gewinnen."
"... Die nächste Person, bitte!","... Die Nächste, bitte!"
Dier Vorgänger*in im Projekt hat viele Reformen eingeführt.,Der Vorgänger im Projekt hat viele Reformen eingeführt.
Dier Richter_in verkündete das Urteil im Gerichtssaal.,Die Richterin verkündete das Urteil im Gerichtssaal.
Dier InterviewpartnerIn gab ausführliche Antworten auf alle Fragen.,Der Interviewpartner gab ausführliche Antworten auf alle Fragen.
Dier Beschäftigte der Müllabfuhr leerte die Tonnen früh am Morgen.,Der Müllmann leerte die Tonnen früh am Morgen.
"Die interviewende Person stellte gezielte Fragen, um mehr zu erfahren.","Die Interviewerin stellte gezielte Fragen, um mehr zu erfahren."
Der Ärzt*inbrief enthielt alle wichtigen Informationen zur Behandlung.,Der Arztbrief enthielt alle wichtigen Informationen zur Behandlung.
Die Helfer_innen verteilten warme Mahlzeiten an obdachlose Menschen.,Die Helfer verteilten warme Mahlzeiten an obdachlose Menschen.
... Wie viele User*innen hat diese Website?,... Wie viele Userinnen hat diese Website?
Die Minister/innen hielten eine wichtige Rede im Parlament.,Die Minister hielten eine wichtige Rede im Parlament.
Als der Mensch für alles in unserem Büro ist dey für alle administrativen Aufgaben zuständig.,Als der Junge für alles in unserem Büro ist er für alle administrativen Aufgaben zuständig.
"Dier Beobachter_in achtete darauf, dass die Wahl demokratisch ablief.","Die Beobachterin achtete darauf, dass die Wahl demokratisch ablief."
Dier Erzähler*in hielt die Kinder mit spannenden Geschichten in Atem.,Der Erzähler hielt die Kinder mit spannenden Geschichten in Atem.
Die (persönlichen) Nutzungsdaten werden sicher auf dem Server gespeichert.,Die Nutzerdaten werden sicher auf dem Server gespeichert.
Ich bin heute als Besuchende da.,Ich bin heute als Besucherin da.
Dier Töpfer_in formte mit geschickten Händen wunderschöne Keramiken auf der Drehscheibe.,Die Töpferin formte mit geschickten Händen wunderschöne Keramiken auf der Drehscheibe.
Dier Callcenter Agent/in Miks hat wie immer eine super Leistung gezeigt.,Der Callcenter Agent Miks hat wie immer eine super Leistung gezeigt.
Dier Investor*in zeigte großes Interesse an dem neuen Startup.,Die Investorin zeigte großes Interesse an dem neuen Startup.
Dier Werkstudent:in unterstützt das Marketing-Team und sammelt praktische Erfahrungen neben deren Studium.,Die Werkstudentin unterstützt das Marketing-Team und sammelt praktische Erfahrungen neben ihrem Studium.
Die Spieler/ingruppen traten in verschiedenen Disziplinen gegeneinander an.,Die Spielergruppen traten in verschiedenen Disziplinen gegeneinander an.
Dier Jurist/in unterstützte in deren Freizeit Geflüchtete bei Auseinandersetzungen mit dem Sozialamt,Der Jurist unterstützte in seiner Freizeit Geflüchtete bei Auseinandersetzungen mit dem Sozialamt
Die den Auftrag entgegennehmende Person führte die Arbeiten pünktlich aus.,Die Auftragnehmerin führte die Arbeiten pünktlich aus.
Dier HauseigentümerIn ließ das Dach neu decken.,Der Hauseigentümer ließ das Dach neu decken.
"Deren stärkste:r Konkurrent:in im Wettbewerb zeigte eine beeindruckende Leistung.
","Ihre stärkste Konkurrentin im Wettbewerb zeigte eine beeindruckende Leistung.
"
Die KfZ-MechanikerInnen-Innung organisiert regelmäßig Fortbildungen für ihre MitgliederInnen.,Die KfZ-Mechaniker-Innung organisiert regelmäßig Fortbildungen für ihre Mitglieder.
Der Person aus Italien bereitete ein traditionelles Pasta-Gericht zu.,Die Italienerin bereitete ein traditionelles Pasta-Gericht zu.
Die Berufskraftfahrer*innen sind oft lange auf den Straßen unterwegs.,Die Berufskraftfahrer sind oft lange auf den Straßen unterwegs.
Die Argumente der EU-Skeptiker/innen wurden in der Debatte ausführlich besprochen und analysiert.,Die Argumente der EU-Skeptikerinnen wurden in der Debatte ausführlich besprochen und analysiert.
Dier EigentümerIn hat vor kurzem renoviert.,Der Eigentümer hat vor kurzem renoviert
Die Anmerkungen dier Lektor/in verbesserten die Qualität des Buches.,Die Anmerkungen des Lektors verbesserten die Qualität des Buches.
Dier Poet*in schrieb wunderschöne Gedichte.,Der Poet schrieb wunderschöne Gedichte.
"Die Patient/inaufklärung hilft den Patient/innen, ihre Erkrankung besser zu verstehen und die Therapie zu akzeptieren.","Die Patientinaufklärung hilft den Patientinnen, ihre Erkrankung besser zu verstehen und die Therapie zu akzeptieren."
"
Dier Ministerpräsident/in äußerte sich zu aktuellen politischen Entwicklungen und betonte die Bedeutung von Zusammenarbeit und Einheit für das Wohl des Landes.","
Die Ministerpräsidentin äußerte sich zu aktuellen politischen Entwicklungen und betonte die Bedeutung von Zusammenarbeit und Einheit für das Wohl des Landes."
In der Partner*inarbeit erarbeiteten die Schüler*innen gemeinsam die Lösung für das Projekt.,In der Partnerarbeit erarbeiteten die Schüler gemeinsam die Lösung für das Projekt.
Die*der Sklav*in musste unter schweren Bedingungen in der Fabrik arbeiten. Dey hatte keine Aussicht auf Freiheit oder fairen Lohn.,Die Sklavin musste unter schweren Bedingungen in der Fabrik arbeiten. Sie hatte keine Aussicht auf Freiheit oder fairen Lohn.
Dier Schriftführer:in hielt alle wichtigen Informationen und Beschlüsse während der Versammlung fest.,Die Schriftführerin hielt alle wichtigen Informationen und Beschlüsse während der Versammlung fest.
Jörg übernahm die Rolle dies Schirmherr:in für das Wohltätigkeitskonzert.,Jörg übernahm die Rolle des Schirmherren für das Wohltätigkeitskonzert.
Die FunktionärInnen trafen sich zur jährlichen Hauptversammlung.,Die Funktionärinnen trafen sich zur jährlichen Hauptversammlung.
Dier GästIn wurde herzlich empfangen.,Die Gästin wurde herzlich empfangen.
Dier Attentäter_in wurde von der Polizei gefasst.,Die Attentäterin wurde von der Polizei gefasst.
Die Einladenden bekochten den Besuch mit landestypischen Speisen.,Die Gästingeberinnen bekochten den Besuch mit landestypischen Speisen.
Es ist pflicht ein Praktikum (direkt) nach Studienabschluss zu machen,Es ist Pflicht ein Absolventinpraktikum zu machen
Die hohe Kund_inzufriedenheit ist das Ergebnis unserer engagierten Arbeit und unseres hervorragenden Services.,Die hohe Kundenzufriedenheit ist das Ergebnis unserer engagierten Arbeit und unseres hervorragenden Services.
"Die Tatbeteiligten wurden zur Vernehmung ins Revier gebracht, um ihre Rollen im Vorfall zu klären.","Die Tatbeteiligten wurden zur Vernehmung ins Revier gebracht, um ihre Rollen im Vorfall zu klären."
"Dier SpekulantIn investierte in risikoreiche Aktien, um von den Kursschwankungen zu profitieren.","Die Spekulantin investierte in risikoreiche Aktien, um von den Kursschwankungen zu profitieren."
Dier Wissenschaftler*in entdeckte eine neue Methode zur Krebsbehandlung.,Die Wissenschaftlerin entdeckte eine neue Methode zur Krebsbehandlung.
Über mein Kund:inkonto kann ich meine Bestellungen und Rechnungen bequem verwalten.,Über mein Kundenkonto kann ich meine Bestellungen und Rechnungen bequem verwalten.
"
Dier Medienpartner:in spielte eine Schlüsselrolle bei der Verbreitung der Veranstaltungsinformationen und sorgte für eine umfassende Berichterstattung in verschiedenen Kanälen.","
Der Medienpartner spielte eine Schlüsselrolle bei der Verbreitung der Veranstaltungsinformationen und sorgte für eine umfassende Berichterstattung in verschiedenen Kanälen."
"Eine unbekannte Person hatte das Päckchen vor der Haustür abgelegt, ohne eine/n Absender/in anzugeben.","Ein Unbekannter hatte das Päckchen vor der Haustür abgelegt, ohne einen Absender anzugeben."
Die Ordnensperson verbrachte ihre Tage in Meditation.,Die Nonne verbrachte ihre Tage in Meditation.
Viele Unternehmen beschäftigen Mitarbeiter/innen in Teilzeit.,Viele Unternehmen beschäftigen Mitarbeiterinnen in Teilzeit.
Die talentierten Künstler/innen arbeiteten zusammen an einem großen Wandgemälde.,"Die talentierten Künstlerinnen arbeiteten zusammen an einem großen Wandgemälde.
"
Die Dienstleister_innen bietet exzellenten Service.,Die Dienstleisterinnen bietet exzellenten Service.
"Dier Landnutzer:in bewirtschaftet deren Grundstück nachhaltig, um die Bodenqualität zu erhalten.","Die Landnutzerin bewirtschaftet ihr Grundstück nachhaltig, um die Bodenqualität zu erhalten."
"Viele Tourist:innen fahren im Sommer in die Berge, weil dort ein angenehmes Klima ist. ","Viele Touristinnen fahren im Sommer in die Berge, weil dort ein angenehmes Klima ist. "
Im Schüler*inlabor werden praktische Erfahrungen gesammelt.,Im Schülerinlabor werden praktische Erfahrungen gesammelt.
Als wissenschaftliche:r Referent*in der Stiftung XY verfasst dey Berichte und Analysen zu aktuellen Forschungsthemen.,Als wissenschaftlicher Referent der Stiftung XY verfasst er Berichte und Analysen zu aktuellen Forschungsthemen.
Dier Hausmeister/in kümmerte sich um die Instandhaltung des Schulgebäudes.,Der Hausmeister kümmerte sich um die Instandhaltung des Schulgebäudes.
